Deaths by Race/Ethnicity - All Age Groups
Date generated: Sun Mar 07 2021 15:13:50 GMT-0500 (Eastern Standard Time)

Race/Ethnicity,Percentage,Count
Hispanic/Latino,12.2,34689
American Indian / Alaska Native Non-Hispanic,1,2890
Asian Non-Hispanic,4.3,12380
Black Non-Hispanic,14.7,41952
Native Hawaiian / Other Pacific Islander Non-Hispanic,0.2,698
White Non-Hispanic,63.1,180010
Multiple/Other Non-Hispanic,4.4,12562
